post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,"attribute:30 ML","attribute_data:30 ML",attribute:BOLSA,attribute_data:BOLSA,attribute:BOLSAS,attribute_data:BOLSAS,attribute:CAJA,attribute_data:CAJA,attribute:MEDIDAS,attribute_data:MEDIDAS,"attribute:MEDIDAS 30 ML","attribute_data:MEDIDAS 30 ML",attribute:PAQUETES,attribute_data:PAQUETES,attribute:medidas,attribute_data:medidas,attribute:pa_esencias,attribute_data:pa_esencias,attribute:pa_fragancias,attribute_data:pa_fragancias,attribute:pa_gramaje,attribute_data:pa_gramaje,attribute:pa_medidas,attribute_data:pa_medidas,attribute:pa_paquetes,attribute_data:pa_paquetes
"LAVATRASTES 2.9 LITROS",lava-trastes-karmax,,179,"<h2>Fácil limpieza, máximo rendimiento</h2>
Descubre Lava Trastes Karmax, el detergente diseñado especialmente para hacer que la limpieza de tus platos y utensilios sea más eficiente y sin complicaciones. Con una fórmula potente pero delicada, este producto es capaz de eliminar la grasa más difícil y los residuos de alimentos, dejando tus utensilios completamente limpios en cada lavado.

&nbsp;","Mejor que el más vendido... pruébalo.",Publicada,,0,"2026-01-06 19:45:19",1,open,,,,no,no,,129,119,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/lavatrastes-2.9-litros.png ! alt :  ! title : lavatrastes 2.9 litros ! desc :  ! caption : ",,http://localhost/karmax/product/lava-trastes-karmax/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Químicos de Limpieza|Higiene y Desinfección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crema Exterior Automotriz",crema-exterior-automotriz,,261,"<h2>Realza el acabado exterior de tu automóvil</h2>
Descubre una solución revolucionaria para cuidar y embellecer el exterior de tu vehículo. Nuestra crema automotriz está diseñada para ofrecer un acabado espectacular que dejará tu automóvil luciendo como nuevo. Este producto combina lo mejor de la tecnología en cuidado automotriz con ingredientes de alta calidad, garantizando resultados duraderos y un brillo excepcional. Si buscas darle a tu coche una apariencia impecable, esta crema es la elección ideal.
<h2>Fácil de aplicar y resultados rápidos</h2>
Una de las características principales de nuestra crema automotriz es su facilidad de uso. Gracias a su fórmula avanzada, solo necesitas aplicar una pequeña cantidad en la superficie del automóvil y extenderla uniformemente. En pocos minutos, notarás cómo el brillo y la intensidad de los colores se revitalizan, proporcionando un acabado espectacular. Además, la textura ligera de la crema permite una aplicación homogénea, sin dejar residuos ni manchas.
<h2>Cuidado y protección integral</h2>
Esta crema no solo embellece, también protege. Su fórmula especial crea una capa protectora que ayuda a prevenir daños causados por rayos UV, suciedad y partículas ambientales. Esto prolonga la vida útil de la pintura y mejora la resistencia contra desgaste y decoloración. Al utilizar nuestra crema automotriz regularmente, no solo mantendrás tu vehículo en óptimo estado, sino que también conservarás su valor con el paso del tiempo.","Crema exterior 500 ml.",Publicada,,0,"2026-01-06 20:57:06",1,open,,,,no,no,,67,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/crema-int-ext-auto.jpeg ! alt :  ! title : crema int ext auto ! desc :  ! caption : ",,http://localhost/karmax/product/crema-exterior-automotriz/,0,,,simple,,"Químicos de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crema interior Automotriz",crema-interior-automotriz,,263,"<h2>Realza el interior de tu vehículo con facilidad</h2>
Nuestra crema para interiores automotrices está diseñada para aportar un aspecto impecable y una protección duradera a cada rincón de tu automóvil. Desde su fórmula innovadora hasta su capacidad de limpieza en profundidad, este producto es el aliado perfecto para mantener tu vehículo como nuevo sin esfuerzo.
<h2>Protección efectiva para todos los materiales internos</h2>
Ya sea cuero, vinilo, plástico, madera o cualquier otro material que forme parte del interior de tu automóvil, esta crema garantiza resultados óptimos. Además de eliminar polvo y suciedad acumulada, deja una capa protectora que ayuda a prevenir el desgaste, las grietas y la decoloración causados por la exposición al sol y al uso diario.
<h2>Fácil de aplicar y con resultados inmediatos</h2>
Su textura suave y cremosa permite una aplicación uniforme en todas las superficies interiores, logrando un acabado profesional con tan solo unas pocas pasadas. Simplemente aplica la crema con un paño limpio, extiéndela de manera uniforme y disfruta de un interior revitalizado en cuestión de minutos.
<h2>Aromatiza y revitaliza el espacio</h2>
Además de su capacidad de limpieza y protección, esta crema aporta un aroma fresco y agradable que mejora la experiencia dentro del vehículo. Cada vez que subas al coche, sentirás el confort proporcionado por un ambiente pulido y cuidado.
<h2>La elección ideal para mantener tu vehículo en excelente estado</h2>
Si buscas un producto confiable que combine limpieza, cuidado y protección, nuestra crema para interiores automotrices es la solución que estabas esperando. Transforma cada viaje en una experiencia más agradable, mientras prolongas la vida útil y el atractivo de tu auto.","500 ml",Publicada,,0,"2026-01-06 21:00:25",1,open,,,,no,no,,67,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/crema-int-ext-auto.jpeg ! alt :  ! title : crema int ext auto ! desc :  ! caption : ",,http://localhost/karmax/product/crema-interior-automotriz/,0,,,simple,,"Químicos de Limpieza|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ESCOBA PULGADA MEDIANA",escoba-pulgada-mediana,,353,"• ESCOBA 100% ESPIGA

• MADERA PULGADA * 48

• 3 ALAMBRES Y 1 HILO PIOLA

• MANGO CON RECUBRIMIENTO VERDE

• ETIQUETADA",,Publicada,,0,"2026-01-19 18:15:26",3,open,,,,no,no,,84,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/ESCOBA-PULGADA-MEDIANA.png ! alt :  ! title : ESCOBA PULGADA MEDIANA ! desc :  ! caption : ",,http://localhost/karmax/product/escoba-pulgada-mediana/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ESCOBA CARAMELO ECONOMICA MEDIANA",escoba-caramelo-economica-mediana,,355,"•ESCOBA 100% ESPIGA

•MADERA 7/8 * 42

•7 HILOS PIOLA

•ETIQUETADA",,Publicada,,0,"2026-01-19 18:22:01",3,open,,,,no,no,,68,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/ESCOBA-CARAMELO-ECONOMICA.png ! alt :  ! title : ESCOBA CARAMELO ECONOMICA ! desc :  ! caption : ",,http://localhost/karmax/product/escoba-caramelo-economica-mediana/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ESCOBA INDUSTRIAL GRANDE",escoba-industrial-grande,,357,"• 100% ESPIGA

• MADERA PEÑOLERA * 48

• 3 ALAMBRES Y 1 HILO PIOLA

• MANGO CON RECUBRIMIENTO VERDE

• SIN ETIQUETA",,Publicada,,0,"2026-01-19 18:25:01",3,open,,,,no,no,,117,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/escoba-industrial-grande-1.png ! alt :  ! title : escoba industrial grande ! desc :  ! caption : ",,http://localhost/karmax/product/escoba-industrial-grande/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ESCOBA PLASTICO MEDIANA",escoba-plastico-mediana,,359,"• CERDA PLASTICA

• MADERA 7/8 * 44

• 6 HILOS PIOLA

• MANGO CON RECUBRIMIENTO ROJO",,Publicada,,0,"2026-01-19 18:26:54",3,open,,,,no,no,,69,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/ESCOBA-PLASTICO-MEDIANA.png ! alt :  ! title : ESCOBA PLASTICO MEDIANA ! desc :  ! caption : ",,http://localhost/karmax/product/escoba-plastico-mediana/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Papelería e Higiene Institucional|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRAPEADOR MICROFIBRA TRENZADO MEDIANO",trapeador-microfibra-trenzado-mediano,,367,"• HILO MICROFIBRA TRENZADO

• 250 GMS",,Publicada,,0,"2026-01-19 22:14:26",3,open,,,,no,no,,69,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/TRAPEADOR-MICROFIBRA-TRENZADO-MEDIANO.png ! alt :  ! title : TRAPEADOR MICROFIBRA TRENZADO MEDIANO ! desc :  ! caption : ",,http://localhost/karmax/product/trapeador-microfibra-trenzado-mediano/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Papelería e Higiene Institucional|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRAPEADOR MICROFIBRA ESPAÑOLA MEDIANO",trapeador-microfibra-espanola-mediano,,369,"HILO MICROFIBRA ESPAÑOLA

280 GMS",,Publicada,,0,"2026-01-19 22:16:25",3,open,,,,no,no,,78,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/TRAPEADOR-MICROFIBRA-ESPANOLA.png ! alt :  ! title : TRAPEADOR MICROFIBRA ESPAÑOLA ! desc :  ! caption : ",,http://localhost/karmax/product/trapeador-microfibra-espanola-mediano/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Papelería e Higiene Institucional|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRAPEADOR MICROFIBRA MEDIANO LA REYNERA",trapeador-microfibra-mediano-la-reynera,,371,"TUBO METALICO",,Publicada,,0,"2026-01-19 22:17:47",3,open,,,,no,no,,175,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/TRAPEADOR-MICROFIBRA-MEDIANO.png ! alt :  ! title : TRAPEADOR MICROFIBRA MEDIANO ! desc :  ! caption : ",,http://localhost/karmax/product/trapeador-microfibra-mediano-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Papelería e Higiene Institucional|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
